Index,TimeStamp,Site,ProductName,ProductUrl,ProductBrand,OriginalPrice,CurrentPrice,DiscAvailable,Discount%
40,06-08-2021 03:21,Myntra,Girls Printed Top,https://www.myntra.com/tops/juniors-by-lifestyle/juniors-by-lifestyle-girls-multicoloured-printed-top/12999444/buy,Juniors,1199,839,TRUE,30
41,06-08-2021 03:21,Myntra,Printed Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-women-black-printed-top/13586992/buy,Ginger,999,999,FALSE,0
42,06-08-2021 03:21,Myntra,Women Solid Backpack,https://www.myntra.com/backpacks/ginger-by-lifestyle/ginger-by-lifestyle-women-black-solid-backpack/11559618/buy,Ginger,1699,1699,FALSE,0
43,06-08-2021 03:21,Myntra,Printed Bardot Top,https://www.myntra.com/tops/code-by-lifestyle/code-by-lifestyle-green-printed-bardot-top/13932564/buy,CODE,1699,1699,FALSE,0
44,06-08-2021 03:21,Myntra,Women Solid Pumps,https://www.myntra.com/heels/code-by-lifestyle/code-by-lifestyle-women-blue-solid-pumps/13864302/buy,CODE,1899,1899,FALSE,0
45,06-08-2021 03:21,Myntra,Printed Top,https://www.myntra.com/tops/ginger-by-lifestyle/ginger-by-lifestyle-women-black-printed-top/13309538/buy,Ginger,1299,1299,FALSE,0
46,06-08-2021 03:21,Myntra,Women Pumps,https://www.myntra.com/heels/code-by-lifestyle/code-by-lifestyle-women-pink-solid-pumps/13864310/buy,CODE,1899,1899,FALSE,0
47,06-08-2021 03:21,Myntra,Textured Satchel,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-black-textured-satchel/14152854/buy,CODE,2299,2299,FALSE,0
48,06-08-2021 03:21,Myntra,Printed Sweatshirt,https://www.myntra.com/tshirts/ginger-by-lifestyle/ginger-by-lifestyle-women-pink-printed-sweatshirt/13846788/buy,Ginger,1049,734,TRUE,30
49,06-08-2021 03:21,Myntra,Colourblocked Handheld Bag,https://www.myntra.com/handbags/code-by-lifestyle/code-by-lifestyle-brown-colourblocked-handheld-bag/14029796/buy,CODE,2299,2299,FALSE,0
50,06-08-2021 03:21,Myntra,Women Sandals,https://www.myntra.com/heels/ginger-by-lifestyle/ginger-by-lifestyle-women-green-embellished-sandals/13795068/buy,Ginger,1299,1299,FALSE,0
